,Company Name,Industry,Symbol,Series,ISIN Code
51,ITC Ltd..NS,Fast Moving Consumer Goods.NS,ITC.NS,EQ.NS,INE154A01025.NS
52,Indian Oil Corporation Ltd..NS,Oil Gas & Consumable Fuels.NS,IOC.NS,EQ.NS,INE242A01010.NS
53,Indian Railway Catering And Tourism Corporation Ltd..NS,Consumer Services.NS,IRCTC.NS,EQ.NS,INE335Y01020.NS
54,Indus Towers Ltd..NS,Telecommunication.NS,INDUSTOWER.NS,EQ.NS,INE121J01017.NS
55,IndusInd Bank Ltd..NS,Financial Services.NS,INDUSINDBK.NS,EQ.NS,INE095A01012.NS
56,Info Edge (India) Ltd..NS,Consumer Services.NS,NAUKRI.NS,EQ.NS,INE663F01024.NS
57,Infosys Ltd..NS,Information Technology.NS,INFY.NS,EQ.NS,INE009A01021.NS
58,InterGlobe Aviation Ltd..NS,Services.NS,INDIGO.NS,EQ.NS,INE646L01027.NS
59,JSW Steel Ltd..NS,Metals & Mining.NS,JSWSTEEL.NS,EQ.NS,INE019A01038.NS
60,Kotak Mahindra Bank Ltd..NS,Financial Services.NS,KOTAKBANK.NS,EQ.NS,INE237A01028.NS
61,LTIMindtree Ltd..NS,Information Technology.NS,LTIM.NS,EQ.NS,INE214T01019.NS
62,Larsen & Toubro Ltd..NS,Construction.NS,LT.NS,EQ.NS,INE018A01030.NS
63,Life Insurance Corporation of India.NS,Financial Services.NS,LICI.NS,EQ.NS,INE0J1Y01017.NS
64,Mahindra & Mahindra Ltd..NS,Automobile and Auto Components.NS,M&M.NS,EQ.NS,INE101A01026.NS
65,Marico Ltd..NS,Fast Moving Consumer Goods.NS,MARICO.NS,EQ.NS,INE196A01026.NS
66,Maruti Suzuki India Ltd..NS,Automobile and Auto Components.NS,MARUTI.NS,EQ.NS,INE585B01010.NS
67,MphasiS Ltd..NS,Information Technology.NS,MPHASIS.NS,EQ.NS,INE356A01018.NS
68,Muthoot Finance Ltd..NS,Financial Services.NS,MUTHOOTFIN.NS,EQ.NS,INE414G01012.NS
69,NTPC Ltd..NS,Power.NS,NTPC.NS,EQ.NS,INE733E01010.NS
70,Nestle India Ltd..NS,Fast Moving Consumer Goods.NS,NESTLEIND.NS,EQ.NS,INE239A01016.NS
71,Oil & Natural Gas Corporation Ltd..NS,Oil Gas & Consumable Fuels.NS,ONGC.NS,EQ.NS,INE213A01029.NS
72,One 97 Communications Ltd..NS,Financial Services.NS,PAYTM.NS,EQ.NS,INE982J01020.NS
73,PI Industries Ltd..NS,Chemicals.NS,PIIND.NS,EQ.NS,INE603J01030.NS
74,Pidilite Industries Ltd..NS,Chemicals.NS,PIDILITIND.NS,EQ.NS,INE318A01026.NS
75,Power Grid Corporation of India Ltd..NS,Power.NS,POWERGRID.NS,EQ.NS,INE752E01010.NS
76,Procter & Gamble Hygiene & Health Care Ltd..NS,Fast Moving Consumer Goods.NS,PGHH.NS,EQ.NS,INE179A01014.NS
77,Reliance Industries Ltd..NS,Oil Gas & Consumable Fuels.NS,RELIANCE.NS,EQ.NS,INE002A01018.NS
78,SBI Cards and Payment Services Ltd..NS,Financial Services.NS,SBICARD.NS,EQ.NS,INE018E01016.NS
79,SBI Life Insurance Company Ltd..NS,Financial Services.NS,SBILIFE.NS,EQ.NS,INE123W01016.NS
80,SRF Ltd..NS,Chemicals.NS,SRF.NS,EQ.NS,INE647A01010.NS
81,Samvardhana Motherson International Ltd..NS,Automobile and Auto Components.NS,MOTHERSON.NS,EQ.NS,INE775A01035.NS
82,Shree Cement Ltd..NS,Construction Materials.NS,SHREECEM.NS,EQ.NS,INE070A01015.NS
83,Siemens Ltd..NS,Capital Goods.NS,SIEMENS.NS,EQ.NS,INE003A01024.NS
84,State Bank of India.NS,Financial Services.NS,SBIN.NS,EQ.NS,INE062A01020.NS
85,Sun Pharmaceutical Industries Ltd..NS,Healthcare.NS,SUNPHARMA.NS,EQ.NS,INE044A01036.NS
86,Tata Consultancy Services Ltd..NS,Information Technology.NS,TCS.NS,EQ.NS,INE467B01029.NS
87,Tata Consumer Products Ltd..NS,Fast Moving Consumer Goods.NS,TATACONSUM.NS,EQ.NS,INE192A01025.NS
88,Tata Motors Ltd..NS,Automobile and Auto Components.NS,TATAMOTORS.NS,EQ.NS,INE155A01022.NS
89,Tata Power Co. Ltd..NS,Power.NS,TATAPOWER.NS,EQ.NS,INE245A01021.NS
90,Tata Steel Ltd..NS,Metals & Mining.NS,TATASTEEL.NS,EQ.NS,INE081A01020.NS
91,Tech Mahindra Ltd..NS,Information Technology.NS,TECHM.NS,EQ.NS,INE669C01036.NS
92,Titan Company Ltd..NS,Consumer Durables.NS,TITAN.NS,EQ.NS,INE280A01028.NS
93,Torrent Pharmaceuticals Ltd..NS,Healthcare.NS,TORNTPHARM.NS,EQ.NS,INE685A01028.NS
94,UPL Ltd..NS,Chemicals.NS,UPL.NS,EQ.NS,INE628A01036.NS
95,UltraTech Cement Ltd..NS,Construction Materials.NS,ULTRACEMCO.NS,EQ.NS,INE481G01011.NS
96,United Spirits Ltd..NS,Fast Moving Consumer Goods.NS,MCDOWELL-N.NS,EQ.NS,INE854D01024.NS
97,Vedanta Ltd..NS,Metals & Mining.NS,VEDL.NS,EQ.NS,INE205A01025.NS
98,Wipro Ltd..NS,Information Technology.NS,WIPRO.NS,EQ.NS,INE075A01022.NS
99,Zomato Ltd..NS,Consumer Services.NS,ZOMATO.NS,EQ.NS,INE758T01015.NS
